date,duration,exclude,text,Concept,Phrase,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
6/11/24 10:42,82,0,"Describing what something is about is how I would define this.  Providing background and context is important.  As are providing examples of real world things that are relatable to what something ""means"".",Word,MeaningOf,1,32,1.97,23.51,15.38,69.4,10.67,31.25,81.25,75,62.5,25,3.13,3.13,0,0,0,0,21.88,6.25,0,0,12.5,18.75,6.25,6.25,0,25,6.25,0,0,0,0,0,21.88,0,21.88,9.38,3.13,3.13,6.25,3.13,0,0,3.13,3.13,0,0,0,0,0,0,0,0,3.13,3.13,0,0,0,0,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13,3.13,0,0,3.13,0,0,0,0,0,18.75,0,0,0,0,0,0,15.63,9.38,0,0,0,0,6.25,0
6/11/24 10:43,137,0,"When someone says ""a meaningful life,"" they usually mean a life that feels important and fulfilling. It's about doing things that matter to you, making a difference, and being happy with what you're doing. It's like living in a way that makes you feel good inside and helps others too.",Life,Meaningful,1,50,9.32,94.01,85.71,99,16.67,12,100,84,64,26,8,0,0,6,0,2,18,14,8,0,12,12,8,8,0,24,8,0,4,2,2,0,22,0,22,8,4,0,4,0,4,0,10,10,0,4,4,0,0,0,0,0,18,4,2,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,12,12,0,0,8,0,0,4,4,0,16,0,0,0,0,0,0,22,6,6,0,0,6,4,0
6/11/24 10:44,170,0,"""The meaning of life"" is referencing the idea that certain experiences, people or objects add value to the human existence. As we grow older, we become more discerning about the particular experiences, people and items that do that. People who are introspective will be more likely to reflect on what they can do to make life more enjoyable and impactful and by doing this...they improve not only their own world but the world of those around them.",Life,MeaningOf,1,78,38.2,76.24,30.98,60.52,26,17.95,91.03,71.79,58.97,16.67,8.97,0,2.56,0,0,5.13,7.69,17.95,6.41,0,12.82,10.26,3.85,7.69,1.28,15.38,12.82,5.13,5.13,2.56,1.28,1.28,16.67,0,16.67,5.13,2.56,1.28,2.56,0,5.13,0,2.56,2.56,0,1.28,1.28,0,0,0,0,0,14.1,1.28,0,0,0,0,0,10.26,0,0,0,0,0,0,0,0,1.28,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,6.41,0,0,5.13,1.28,0,0,1.28,0,3.85,1.28,0,0,0,0,0,14.1,7.69,3.85,0,0,0,2.56,0
6/11/24 10:47,67,0,"The meaning is to serve God.  I am supposed to do this by loving others.  I can love others with mostly my actions, but words as well.  This may be directed toward family members, friends, or even perfect strangers.  Also to both friends and enemies.",Life,MeaningOf,1,45,10.19,10.48,19.26,97.84,9,22.22,91.11,68.89,64.44,15.56,6.67,6.67,0,0,0,0,8.89,11.11,2.22,0,15.56,15.56,8.89,11.11,0,17.78,2.22,2.22,6.67,6.67,0,0,24.44,0,24.44,2.22,0,6.67,6.67,2.22,8.89,0,11.11,8.89,2.22,4.44,4.44,0,0,0,0,0,15.56,8.89,2.22,0,2.22,0,2.22,8.89,0,4.44,0,0,0,0,0,0,2.22,0,0,0,0,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,2.22,0,0,2.22,0,0,0,0,0,6.67,6.67,0,0,0,0,0,17.78,11.11,6.67,0,0,0,0,0
6/11/24 10:48,97,0,That life overall is important and every day is a new adventure. Everyone should live day by day because life is not guaranteed and every day is a gift. Meaningful can be anything that makes someone cherish every day.,Life,Meaningful,1,39,10.19,40.06,48.76,99,13,25.64,100,84.62,56.41,12.82,0,0,0,0,0,0,12.82,17.95,5.13,0,2.56,17.95,0,7.69,2.56,23.08,10.26,20.51,2.56,2.56,0,0,35.9,10.26,25.64,2.56,5.13,5.13,5.13,2.56,2.56,0,10.26,10.26,0,2.56,2.56,0,0,0,0,0,12.82,2.56,2.56,0,0,0,0,5.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56,20.51,2.56,0,0,2.56,0,0,0,15.38,0,15.38,0,0,0,0,0,0,7.69,7.69,0,0,0,0,0,0
6/11/24 10:49,124,0,"When people use the pharse ""the meaning of a word"", they are talking about the definition of a word or the context of a word, or how we decode it in our brains and language.",Word,MeaningOf,1,35,89.52,85.08,63.35,,35,14.29,91.43,68.57,62.86,11.43,8.57,0,5.71,0,0,2.86,2.86,22.86,20,0,14.29,2.86,8.57,11.43,0,8.57,0,0,5.71,5.71,0,0,17.14,0,17.14,8.57,5.71,0,5.71,0,5.71,0,0,0,0,0,0,0,0,0,0,0,22.86,14.29,0,0,0,0,11.43,8.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86,2.86,0,0,2.86,0,0,0,2.86,0,2.86,0,0,0,0,0,0,14.29,2.86,5.71,0,0,0,5.71,0
6/11/24 10:52,35,0,I think they are talking about feeling that their life has a positive value. Maybe they feel that they are something to someone. Maybe they feel that they've made a positive impact.,Life,Meaningful,1,32,1.1,99,32.54,96.74,10.67,18.75,96.88,87.5,65.63,37.5,21.88,3.13,0,0,0,18.75,15.63,18.75,6.25,0,6.25,12.5,9.38,0,0,28.13,3.13,0,0,0,0,0,34.38,0,34.38,12.5,9.38,0,12.5,0,0,0,6.25,6.25,0,0,0,0,0,0,0,0,28.13,3.13,0,0,0,0,3.13,21.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.38,9.38,0,0,0,0,0,9.38,0,6.25,15.63,0,0,0,0,0,0,12.5,9.38,0,0,0,3.13,0,0
6/11/24 10:51,144,0,"When people use the meaning of a word they are trying to describe, they use the true sense. We have evolved our words into slang and sometimes people need to clarify that they are using the word in the correct context. The phrase means nothing more than the true representation of the word.",Word,MeaningOf,1,53,91.9,87.88,18.63,,17.67,16.98,92.45,69.81,52.83,11.32,9.43,0,3.77,0,0,5.66,1.89,20.75,15.09,0,13.21,5.66,1.89,5.66,1.89,16.98,5.66,3.77,5.66,3.77,1.89,0,30.19,1.89,26.42,7.55,5.66,3.77,1.89,0,1.89,0,0,0,0,0,0,0,0,0,0,0,20.75,11.32,0,0,0,0,11.32,9.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89,0,0,0,0,0,0,0,0,7.55,5.66,0,0,3.77,0,0,1.89,3.77,0,5.66,0,0,0,0,0,0,7.55,5.66,1.89,0,0,0,0,0
6/11/24 10:51,160,0,"When someone says a meaningful word, it means that word has value to the person. It may resonate with them, or they might be able to apply it to their own life. Using a meaningful word might spark a memory for the person, or they might have feelings or experiences that they relate to that word.",Word,Meaningful,1,56,30.7,86.29,35.49,75.77,18.67,10.71,91.07,69.64,60.71,21.43,8.93,0,0,0,0,8.93,12.5,16.07,8.93,0,10.71,12.5,1.79,7.14,0,17.86,3.57,0,3.57,0,1.79,1.79,26.79,0,26.79,8.93,1.79,0,14.29,0,5.36,1.79,3.57,3.57,0,0,0,0,0,0,0,0,25,8.93,0,0,0,0,8.93,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,1.79,0,0,0,0,0,1.79,1.79,0,5.36,7.14,0,0,0,0,0,10.71,5.36,5.36,0,0,0,0,0
6/11/24 10:52,116,0,"I think when saying the meaning of life, people are referring to what makes us work for certain things. It depends what we call our lives, but might refer to our loved ones, our posessions. And also, what we desire, our passions and needs.",Life,MeaningOf,1,44,4.73,99,5.07,86.79,14.67,13.64,95.45,77.27,56.82,29.55,18.18,2.27,15.91,0,0,0,11.36,11.36,2.27,0,9.09,4.55,4.55,11.36,0,22.73,2.27,0,22.73,20.45,2.27,0,22.73,0,22.73,4.55,4.55,4.55,4.55,0,2.27,0,6.82,4.55,0,4.55,2.27,0,0,0,0,0,31.82,9.09,0,0,0,0,4.55,20.45,4.55,0,0,0,0,0,0,0,2.27,0,0,2.27,0,0,2.27,0,0,0,0,0,0,0,0,2.27,2.27,0,0,0,0,0,0,0,9.09,2.27,0,0,2.27,0,0,0,2.27,0,11.36,2.27,0,0,0,0,0,18.18,6.82,11.36,0,0,0,0,0
